,release_date,developer,price
88422,2007-08-01,"Gamebryo,Virtual Playground",9.99
88423,2007-09-01,SCS Software,9.99
88424,2007-12-03,SCS Software,9.99
88425,2008-02-08,Pivotal Games,5.99
88426,2007-05-08,Bohemia Interactive,7.99
88427,2006-02-21,,9.99
88428,2006-05-02,Spellbound,9.99
88429,2007-10-16,Haggard Games,4.99
88430,2006-05-30,Eugen Systems,2.99
88431,2006-10-26,"Frontier,Aspyr (Mac)",19.99
88432,2005-03-14,Eugen Systems,2.99
88433,2003-02-03,"Epic Games, Inc.",14.99
88434,1998-04-30,"Epic Games, Inc.",9.99
88435,2008-03-21,Sanzaru Games,4.99
88436,2003-02-18,Ubisoft,9.99
88437,2004-03-23,Crytek Studios,9.99
88438,2000-10-25,"Epic Games, Inc.",9.99
88439,2006-12-12,Ubisoft Montreal,9.99
88440,2005-03-15,Ubisoft,9.99
88441,2008-05-28,Last Day of Work,9.99
88442,2008-06-04,SpinTop Games,4.99
88443,2008-06-10,MumboJumbo,9.99
88444,2008-06-10,MumboJumbo,9.99
88445,2008-06-10,MumboJumbo,9.99
88446,2008-06-10,MumboJumbo,9.99
88447,2005-12-08,MumboJumbo,9.99
88448,2007-11-13,MumboJumbo,9.99
88449,2007-11-13,Ubisoft,9.99
88450,2005-12-08,MumboJumbo,9.99
88451,2007-03-27,"Ubisoft Bulgaria,Ubisoft Montpellier",9.99
88452,2007-03-20,Ubisoft Romania,9.99
88453,2006-12-15,1C: Maddox Games,9.99
88454,2008-03-24,Ubisoft Romania,9.99
88455,2005-09-15,Telltale Games,9.99
88456,2005-07-02,"Merscom,Babylon",9.99
88457,2006-04-12,Telltale Games,9.99
88458,2008-07-29,BigAnt Studios,9.99
88459,2008-01-08,Zemnott,9.99
88460,2007-07-02,Gabriel Entertainment,9.99
88461,2008-01-12,Zemnott,9.99
88462,2007-08-08,Zemnott,9.99
88463,2008-05-20,Frogwares,9.99
88464,2008-07-08,Eurocom,0.0
88465,2008-04-14,Frogwares,9.99
88466,2008-07-31,"Luc Bernard,SilverSphereStudios",4.99
88467,2007-05-25,Lesta Studio,7.99
88468,2008-08-21,Dialogue Design,4.99
88469,2008-08-19,Bugbear Entertainment,19.99
88470,1998-11-17,Oddworld Inhabitants,2.99
88471,1997-12-12,Oddworld Inhabitants,2.99
88472,2008-09-01,SimBin,7.99
88473,2001-04-19,"MicroProse Software, Inc",4.99
88474,1997-07-15,"MicroProse Software, Inc",4.99
88475,1993-12-31,"MicroProse Software, Inc",4.99
88476,2008-09-15,GSC Game World,9.99
88477,2008-09-17,Crytek,19.99
88478,2007-11-13,Crytek,19.99
88479,1998-06-15,"MicroProse Software, Inc",4.99
88480,2008-09-16,CD PROJEKT RED,9.99
88481,2008-09-19,Introversion Software,9.99
88482,2008-10-22,SimBin,2.99
88483,2008-08-28,"Tilted Mill Entertainment, Inc.",2.49
88484,2008-09-23,Firaxis Games,19.99
88485,2003-03-18,"Red Storm Entertainment,Ubisoft Montreal",9.99
88486,2008-09-29,Traveller's Tales,19.99
88487,2008-07-18,Monte Cristo,9.99
88488,2008-09-30,"Tilted Mill Entertainment, Inc.",9.99
88489,2008-10-08,Gearbox Software,9.99
88490,2008-08-31,Dark Castle Software,4.99
88491,2006-12-01,Techland,4.99
88492,2006-11-14,Nival,9.99
88493,2005-10-04,Gearbox Software,9.99
88494,2007-10-16,Nival,9.99
88495,2008-04-18,Blue Byte,19.99
88496,2007-09-25,Ubisoft,9.99
88497,2002-05-31,Red Storm Entertainment,9.99
88498,2008-10-15,"PopCap Games, Inc.",4.99
88499,2008-10-13,2D BOY,9.99
88500,2008-10-16,Egosoft,15.99
88501,2008-10-17,Sandstorm Productions,0.0
88502,2008-10-20,Shorebound Studios,4.99
88503,2008-10-21,Perpetual FX Creative,19.99
88504,2008-10-21,Rockstar New England,14.99
88505,2008-10-22,Ubisoft Montreal,9.99
88506,2008-10-23,Meridian4,4.99
88507,2009-01-01,RailSimulator.com,4.99
88508,2009-01-01,RailSimulator.com,4.99
88509,2009-01-01,RailSimulator.com,4.99
88510,2009-01-01,Reppo,4.99
88511,2009-01-01,RailSimulator.com,4.99
88512,2009-01-01,Dovetail Games,4.99
88513,2009-01-01,Dovetail Games,4.99
88514,2009-01-28,Volition,9.99
88515,2008-10-20,EA Redwood Shores,19.99
88516,2008-12-16,Liquid Entertainment,9.99
88517,2009-01-13,DICE,19.99
88518,2008-12-08,Hidden Path Entertainment,9.99
88519,2009-02-12,Monolith,14.99
88520,2008-03-05,Oxeye Game Studio,7.99
88521,2007-07-04,Inventive Dingo,9.99
88522,2009-03-19,Meridian4,4.99
88523,2005-05-10,Black Sea Studios Ltd,9.99
88524,2009-02-27,Realmforge Studios,5.99
88525,2009-03-04,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
88526,2009-03-04,Deadline Games,4.99
88527,2007-03-30,Frictional Games,9.99
88528,2007-11-19,"Epic Games, Inc.",19.99
88529,2009-02-27,Radon Labs,9.99
88530,2009-03-09,Certain Affinity™,0.0
88531,2008-03-21,Tale of Tales,4.99
88532,2009-02-03,Criterion Games,19.99
88533,2009-03-11,Zombie Master Team,0.0
88534,2009-03-09,Twisted Pixel Games,9.99
88535,2009-03-16,Twisted Pixel Games,1.25
88536,2009-03-16,Twisted Pixel Games,1.25
88537,2009-03-19,IonFX,4.99
88538,2009-03-19,Llamasoft LTD,9.99
88539,2009-03-10,"InnoGlow,Stormregion,THQ Nordic",14.99
88540,2009-04-15,SpinTop Games,4.99
88541,2006-10-27,ArenaNet®,19.99
88542,2005-04-28,ArenaNet®,19.99
88543,2006-04-28,ArenaNet®,19.99
88544,2008-09-25,ArenaNet®,29.99
88545,2009-04-16,Infinite Interactive,14.99
88546,2009-04-29,MumboJumbo,9.99
88547,2009-04-30,Reality Pump Studios,9.99
88548,2009-04-30,Spellbound,9.99
88549,2009-02-10,Gaijin Entertainment,9.99
88550,2009-04-21,ACE Team,9.99
88551,2009-04-29,Twisted Pixel Games,1.25
88552,2008-09-23,1C Company,6.99
88553,2009-05-06,Last Day of Work,9.99
88554,2009-05-06,Sky Fallen,2.99
88555,2005-03-08,Irrational Games,4.99
88556,2002-03-26,Irrational Games,4.99
88557,2009-06-04,SaintXi,14.99
88558,2009-06-09,Darklight Games,0.0
88559,2009-06-10,Radical Entertainment,19.99
88560,,Erik Svedäng,4.99
88561,2004-04-30,Ascaron Entertainment ltd.,4.99
88562,2006-04-26,Headfirst Productions,4.99
88563,2007-09-11,Bethesda Game Studios,14.99
88564,2002-04-29,Bethesda Game Studios,14.99
88565,2009-06-16,Bethesda Game Studios®,19.99
88566,2007-05-18,Deck 13,4.99
88567,1999-09-01,NovaLogic,9.99
88568,1998-09-07,NovaLogic,9.99
88569,2008-09-15,Mascot Entertainment,4.99
88570,2009-06-30,Techland,9.99
88571,2007-10-01,HeR Interactive,6.99
88572,2006-10-01,HeR Interactive,6.99
88573,2008-07-01,HeR Interactive,6.99
88574,2007-07-01,HeR Interactive,6.99
88575,2008-12-24,Digital Eel,0.0
88576,2009-07-07,,9.99
88577,2009-07-07,Telltale Games,19.99
88578,2009-07-07,Capcom,19.99
88579,2007-10-09,Frontier,9.99
88580,1992-06-01,LucasArts,5.99
88581,2003-12-02,Planet Moon Studios,5.99
88582,2005-11-01,Pandemic Studios,9.99
88583,1989-07-01,LucasArts,5.99
88584,2008-06-03,Traveller's Tales,19.99
88585,2009-07-15,LucasArts,9.99
88586,2008-11-20,GFI Russia,12.99
88587,2009-06-02,Targem Games,9.99
88588,2009-07-21,HeR Interactive,6.99
88589,2009-07-21,Her Interactive,0.0
88590,2006-12-20,Wanako Games,9.99
88591,2006-09-01,Sierra,19.99
88592,2007-10-30,Saber Interactive,19.99
88593,2006-09-01,Sierra,19.99
88594,2009-07-24,Tripwire Interactive,7.99
88595,2008-06-04,Artech Studios,9.99
88596,2009-07-24,"PopTop Software,BreakAway Games,Frog City Software",6.99
88597,2009-07-27,SpinTop Games,4.99
88598,2008-08-14,Capcom,9.99
88599,2009-07-28,Capcom,9.99
88600,2009-07-29,Deadline Games,4.99
88601,2009-08-04,Sakari Indie,4.99
88602,2003-11-19,"BioWare,Aspyr (Mac)",9.99
88603,2009-08-18,Hemisphere Games,9.99
88604,1998-12-01,Black Isle Studios,9.99
88605,2001-03-01,14° East,9.99
88606,1999-06-01,Xatrix Entertainment,9.99
88607,2000-11-01,Shiny Entertainment,9.99
88608,2009-08-19,IO Interactive,0.0
88609,2009-08-20,Telltale Games,19.99
88610,2009-08-24,iWin,19.99
88611,2009-08-24,iWin,9.99
88612,2009-06-22,Size Five Games,4.99
88613,2005-03-29,Ubisoft Montreal,9.99
88614,2009-08-27,,9.99
88615,2009-08-28,Unicorn Games Studio,4.99
88616,2009-10-30,Blue Fang,14.99
88617,2009-09-23,,9.99
88618,2009-09-08,IO Interactive,9.99
88619,2009-09-23,"Freeze Tag Inc.,iQ212",19.99
88620,1999-11-30,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",19.99
88621,2009-05-26,"Vectorpark, Inc.",2.99
88622,2009-09-25,All Aboard,24.99
88623,2009-09-28,MumboJumbo,9.99
88624,2009-09-07,Telltale Games,19.99
88625,2009-08-18,NovaLogic,19.99
88626,2009-10-01,Dovetail Games,17.99
88627,2009-09-30,PlayFirst,9.99
88628,2009-10-01,Dovetail Games,19.99
88629,2009-10-30,Piranha Bytes,9.99
88630,2009-10-01,Honeyslug,3.99
88631,2009-10-05,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",9.99
88632,2009-10-16,Amanita Design,9.99
88633,2007-09-04,EA Los Angeles,9.99
88634,2009-09-15,Slightly Mad Studios,19.99
88635,2009-10-27,Runic Games,14.99
88636,2009-03-12,EA Los Angeles,19.99
88637,2009-10-27,FireFly Studios,19.99
88638,2009-10-27,Nitro Games,4.99
88639,2009-10-27,Homegrown Games,9.99
88640,2009-10-29,"Phenomic,THQ Nordic",14.99
88641,2009-10-29,Animation Arts,9.99
88642,2009-10-29,Stormregion,4.99
88643,2009-10-07,Telltale Games,19.99
88644,2009-11-01,1C Company,4.99
88645,2009-09-19,Konstantin Koshutin,4.99
88646,2009-11-03,Phenomic,9.99
88647,2005-03-03,Wargaming.net,9.99
88648,2003-10-28,Wargaming.net,9.99
88649,2009-11-19,HeR Interactive,6.99
88650,2009-11-24,Croteam,14.99
88651,2009-10-29,Animation Arts,9.99
88652,2009-11-06,BioWare,19.99
88653,2009-05-07,Citeremis Inc.,4.99
88654,2009-11-05,Yullaby,1.99
88655,2009-11-11,Crystal Empire Games,9.99
88656,2009-11-12,"Infinity Ward,Aspyr (Mac)",19.99
88657,2009-11-12,"Traveller's Tales,Feral Interactive (Mac)",19.99
88658,2007-06-26,"Triumph Studios,Virtual Programming",4.99
88659,2008-02-15,"Triumph Studios,Virtual Programming",9.99
88660,2007-03-28,EA Los Angeles,14.99
88661,2008-07-23,KranX Productions,4.99
88662,2009-11-13,EA Los Angeles,19.99
88663,2009-11-16,Positech Games,14.99
88664,2009-12-25,Gaijin Entertainment,9.99
88665,2005-06-17,inXile Entertainment,9.99
88666,2009-10-22,Defence Alliance Team,0.0
88667,2009-11-03,"LucasArts,Aspyr Studios",19.99
88668,2009-12-15,Paradox Interactive,9.99
88669,2009-10-13,Bethesda Game Studios,19.99
88670,2009-12-16,Positech Games,5.99
88671,2007-10-02,Hip Soft,9.99
88672,2008-04-29,Hip Soft,9.99
88673,2009-01-24,Hip Soft,9.99
88674,2009-12-17,iWin,9.99
88675,2009-12-17,Spidermonk Entertainment,1.99
88676,2008-07-08,Capcom,19.99
88677,2010-03-17,ClockStone Studios,9.99
88678,2009-08-12,Hip Soft,9.99
88679,2010-02-12,Octoshark Studios,0.0
88680,2008-08-27,Alawar,4.99
88681,2010-01-06,Alawar,9.99
88682,2009-09-11,Alawar,9.99
88683,2007-12-07,Alawar,4.99
88684,2009-02-18,Alawar,4.99
88685,2010-02-16,Sandlot Games,6.99
88686,2010-02-16,Sandlot Games,6.99
88687,2010-02-16,Cateia Games,6.99
88688,2010-02-17,Chaos Concept,9.99
88689,2010-02-18,Traveller's Tales,19.99
88690,2010-02-18,Eurocom,0.0
88691,2010-02-18,New Star Games Ltd,4.99
88692,2010-02-18,Paradox Interactive,0.99
88693,2010-02-19,The Farm 51,6.99
88694,2007-12-01,Awem Studio,9.99
88695,2010-03-18,Rebellion,7.49
88696,2001-03-21,Croteam,9.99
88697,2010-03-19,All Aboard,19.99
88698,2010-03-31,TaleWorlds Entertainment,19.99
88699,2010-03-26,ZoopTEK,4.99
88700,2010-04-05,Beatnik Games,4.99
88701,2010-04-08,Fatshark,9.99
88702,2010-04-12,Rockstar North / Toronto,19.99
88703,2010-04-12,Other Ocean Interactive,4.99
88704,2010-04-14,Nemesys Games,0.99
88705,2010-04-15,Cold Beam Games,9.99
88706,2010-04-15,Telltale Games,19.99
88707,2010-04-19,Realmforge Studios,9.99
88708,2010-04-19,Gaijin Entertainment,4.99
88709,2010-04-20,The Odd Gentlemen,4.99
88710,2003-08-19,THQ Nordic,4.99
88711,2001-11-30,THQ Nordic,4.99
88712,2010-04-20,Red Chain Games Ltd.,1.99
88713,2006-07-19,Big Fish Games,9.99
88714,2008-06-19,Big Fish Games,9.99
88715,2010-05-05,"The Creative Assembly,Feral Interactive (Mac)",2.99
88716,2008-12-31,Sarbakan,6.99
88717,2009-09-24,PlayFirst,6.99
88718,2009-07-27,Absolutist Ltd.,6.99
88719,2007-10-19,PlayFirst,6.99
88720,2009-12-24,PlayFirst,6.99
88721,2010-03-19,PlayFirst,6.99
88722,2008-02-11,PlayFirst,6.99
88723,2007-12-31,PlayFirst,6.99
88724,2009-12-21,PlayFirst,6.99
88725,2010-05-07,G5 Entertainment,9.99
88726,2008-12-05,ISOTX,0.0
88727,2010-05-11,Climax Studios,14.99
88728,2010-05-12,Press Play,0.0
88729,2010-05-12,Muse Games,4.99
88730,2010-05-28,Ideas Pad,4.99
88731,2010-06-08,Ubisoft,19.99
88732,2010-05-28,Kokakiki,4.99
88733,2010-06-01,SEGA,2.99
88734,2010-06-01,SEGA,2.99
88735,2010-06-01,D3T Limited,61.99
88736,2010-06-01,SEGA,2.99
88737,2010-06-01,SEGA,2.99
88738,2010-06-01,SEGA,2.99
88739,2010-06-01,SEGA,2.99
88740,2010-06-01,SEGA,2.99
88741,2010-06-01,SEGA,2.99
88742,2010-06-01,SEGA,4.99
88743,2010-06-01,SEGA,2.99
88744,2010-06-01,SEGA,2.99
88745,2010-06-01,Obsidian Entertainment,14.99
88746,2010-06-03,Team17 Software Ltd.,9.99
88747,2010-07-16,Bethesda Game Studios,4.99
88748,2010-06-02,Hidden Path Entertainment,0.99
88749,2010-07-16,Bethesda Game Studios,4.99
88750,2010-07-16,Bethesda Game Studios,4.99
88751,2010-07-16,Bethesda Game Studios,4.99
88752,2010-07-19,Valve,0.0
88753,2010-07-16,Bethesda Game Studios,4.99
88754,2003-09-22,"EA - Maxis,Aspyr (Mac)",19.99
88755,2010-07-16,"Akella,.dat",14.99
88756,2010-07-16,"Arcen Games, LLC",4.99
88757,2010-07-19,Invent4 Entertainment,9.99
88758,2010-07-21,Blue Byte,3.99
88759,2008-12-08,Dagger Games,9.99
88760,2010-08-17,IO Interactive,9.99
88761,2010-07-28,Rune Forge,9.99
88762,2010-07-26,Paradox Interactive,0.99
88763,2010-08-06,N3V Games,19.99
88764,2010-08-06,Ino-Co,4.99
88765,2011-03-22,"2K Czech,Feral Interactive (Mac)",29.99
88766,2010-08-06,Dovetail Games,4.99
88767,2010-08-12,Infinite Interactive,9.99
88768,2010-08-12,doublesix,9.99
88769,2010-08-16,Playbrains,1.99
88770,2010-08-16,Playbrains,1.99
88771,2010-08-16,Playbrains,1.99
88772,2010-08-16,Playbrains,2.99
88773,2010-08-20,Paradox Development Studio,9.99
88774,2010-08-27,VStep,19.99
88775,2010-08-26,Team17 Digital Ltd,19.99
88776,2010-06-22,Muzzy Lane Software,14.99
88777,2010-08-27,Bohemia Interactive,8.99
88778,2010-08-30,Paradox Development Studio,19.99
88779,2010-08-31,DnS Development,0.0
88780,2010-08-16,Playbrains,1.99
88781,2010-08-31,IO Interactive,5.99
88782,2010-08-31,IO Interactive,1.99
88783,2010-09-01,N3V Games,19.99
88784,2010-08-31,IO Interactive,2.99
88785,2002-11-01,GSC Game World,4.99
88786,2010-09-02,Revolution Software Ltd,5.99
88787,2010-09-06,Zoë Mode,4.99
88788,2010-09-06,"2K Czech,Feral Interactive (Mac)",9.99
88789,2010-09-08,City Interactive,1.99
88790,2010-09-07,Terry Cavanagh,4.99
88791,2010-09-08,Blue Byte,3.99
88792,2010-09-08,Frictional Games,19.99
88793,2010-09-10,EasyGameStation,19.99
88794,2010-08-19,Dedication Games,3.99
88795,2010-09-13,SEGA,2.99
88796,2010-09-13,SEGA,2.99
88797,2010-09-14,exosyphen studios,4.99
88798,2010-09-14,exosyphen studios,4.99
88799,2010-09-17,Subsoap,9.99
88800,2010-09-17,Gaming Minds Studios,14.99
88801,2010-09-13,SEGA,2.99
88802,2010-09-17,Katauri Interactive,14.99
88803,2010-09-17,Dovetail Games,4.99
88804,2010-09-21,"Firaxis Games,Aspyr (Mac, Linux)",29.99
88805,2010-09-21,Nitro Games,4.99
88806,2002-02-05,Croteam,9.99
88807,2010-09-20,Blind Mind Studios,9.99
88808,2010-09-22,Krome Studios,2.99
88809,2010-09-22,Team17 Digital Ltd,9.99
88810,2010-09-23,Croteam,0.0
88811,2010-09-23,Vigil Games,19.99
88812,1999-07-01,Egosoft,4.99
88813,2010-10-08,NeoCoreGames,9.99
88814,2007-08-31,ArenaNet®,19.99
88815,2000-06-01,Egosoft,4.99
88816,,Triumph Studios,9.99
88817,2010-10-11,I Sioux Game Productions B.V.,7.99
88818,2010-10-11,I Sioux Game Productions B.V.,14.99
88819,,Triumph Studios,9.99
88820,,Triumph Studios,5.99
88821,2010-10-12,Electronic Arts,19.99
88822,2010-10-15,"Headup Games,Silent Dreams",9.99
88823,2010-10-15,"CAPCOM CO., LTD.",19.99
88824,2010-10-15,Stickmen Studios,4.99
88825,2010-10-19,Obsidian Entertainment,9.99
88826,2010-10-15,Dmytry Lavrov,6.99
88827,2010-10-22,Ivy Games,4.99
88828,2010-10-25,Noumenon Games,9.99
88829,2010-10-25,"Firaxis Games,Aspyr (Mac, Linux)",4.99
88830,2010-10-25,Hothead Games,14.99
88831,2010-10-26,SEGA,2.99
88832,2010-10-26,SEGA,2.99
88833,2010-10-26,SEGA,2.99
88834,2010-10-26,SEGA,2.99
88835,2010-10-26,SEGA,4.99
88836,2010-10-26,SEGA,2.99
88837,2010-10-26,SEGA,2.99
88838,2010-10-26,SEGA,2.99
88839,2010-10-26,SEGA,2.99
88840,2010-10-26,SEGA,2.99
88841,2010-10-26,SEGA,2.99
88842,2010-10-25,Klei Entertainment,9.99
88843,2010-10-26,Teotl Studios,9.99
88844,2010-10-26,Aspyr Studios,19.99
88845,2010-11-18,Firemint,4.99
88846,2010-11-18,Ascaron Entertainment ltd.,4.99
88847,2010-11-02,Gaijin Games,9.99
88848,2010-11-02,1C Company,1.99
88849,2010-11-02,Nitro Games,4.99
88850,2010-11-18,Tomkorp Computer Solutions Inc.,4.99
88851,2010-11-02,Paradox Interactive,1.99
88852,2010-11-02,Double Helix Games,3.99
88853,2010-11-05,Centauri Production,9.99
88854,2009-10-01,Centauri Production,6.99
88855,2010-11-03,Centauri Production,12.99
88856,2007-04-05,Altar Games,4.99
88857,2010-11-02,React Games,9.99
88858,2010-11-09,Treyarch,39.99
88859,2010-11-09,Sonic Boom Games,0.99
88860,2010-12-02,Joshyy,4.99
88861,2010-12-20,Oddworld Inhabitants,4.99
88862,2010-11-09,Sonic Boom Games,1.99
88863,2010-12-20,Oddworld Inhabitants,9.99
88864,2010-12-23,"Ntreev Soft Co., Ltd.",4.99
88865,2010-12-23,Telltale Games,19.99
88866,2002-05-21,Rockstar Games,9.99
88867,2005-06-06,Rockstar Games,14.99
88868,2011-01-07,Crystal Dynamics Inc.,3.49
88869,2011-01-07,Crystal Dynamics Inc.,3.49
88870,2011-01-07,Crystal Dynamics,3.49
88871,2011-01-07,Crystal Dynamics Inc.,3.49
88872,2003-05-13,Rockstar Games,9.99
88873,2011-01-12,Brightside Games,9.99
88874,2011-01-20,Extend Studio,4.99
88875,2011-01-20,BlueGiant Interactive,14.99
88876,2011-01-25,Visceral Games,19.99
88877,2011-01-19,Big Fish Studios,9.99
88878,2011-01-20,Cateia Games,4.99
88879,2011-01-26,SEGA,2.99
88880,2011-01-24,Uber Entertainment,4.99
88881,2011-01-25,MumboJumbo,9.99
88882,2011-01-26,SEGA,2.99
88883,2011-01-26,SEGA,2.99
88884,2011-01-26,SEGA,2.99
88885,2011-01-26,SEGA,2.99
88886,2011-01-26,SEGA,2.99
88887,2011-01-26,SEGA,4.99
88888,2011-01-26,SEGA,2.99
88889,2011-01-26,SEGA,4.99
88890,2011-01-26,SEGA,2.99
88891,2011-01-26,SEGA,4.99
88892,2011-01-26,SEGA,2.99
88893,2011-01-26,SEGA,2.99
88894,2009-06-02,The Sims Studio,19.99
88895,2011-01-26,VStep,3.99
88896,2010-09-07,The Sims Studio,19.99
88897,2009-11-17,The Sims Studio,19.99
88898,2010-10-26,The Sims Studio,19.99
88899,2010-06-02,The Sims Studio,19.99
88900,2010-02-02,The Sims Studio,19.99
88901,2011-01-27,Trinoteam,4.99
88902,2011-01-28,Virtual Prophecy Entertainment,14.99
88903,2011-02-01,The Sims Studio,19.99
88904,2011-01-31,Mediatonic,5.99
88905,2011-02-02,Cyan Worlds,5.99
88906,2011-02-01,Petroglyph,2.99
88907,2011-02-03,Reality Pump Studios,19.99
88908,2011-02-08,Jellyvision,0.0
88909,,Eden Studios,19.99
88910,2011-02-03,NeoCoreGames,3.99
88911,2011-02-11,Positech Games,6.99
88912,2011-02-09,NeoCoreGames,3.99
88913,2011-02-10,Realmforge Studios,9.99
88914,2011-02-14,"Arcen Games, LLC",4.99
88915,2011-01-11,DTP,19.99
88916,2011-03-08,Stainless Games,9.99
88917,2011-03-11,Fakt Software,4.99
88918,2011-02-28,Gaijin Games,9.99
88919,2011-03-14,"Kaos Studios,Digital Extremes",19.99
88920,2011-02-28,Red Redemption,9.99
88921,2011-02-28,Copenhagen Game Collective,2.99
88922,2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99
88923,2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99
88924,2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
88925,2011-02-28,"Relic Entertainment,Feral interactive (Mac/Linux)",0.99
88926,2011-02-28,"Relic Entertainment,Feral interactive (Mac/Linux)",0.99
88927,2013-10-24,Trion Worlds,0.0
88928,2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",29.99
88929,2011-03-01,Stout Games,3.99
